CCFR,AMFR,OFR,SFR,PFR,Placed
0,0.3,0.3636363636,0.3245614035,0,0
0.2857142857,0.3,0.3636363636,0.3245614035,0.2857142857,0
0.5,0.3,0.3636363636,0.3245614035,0.5,1
1,0.3,0.3636363636,0.3245614035,1,1
0,0.3,0.3636363636,0.3245614035,0,0
0,0.3,0.3636363636,0.3245614035,0,0
0.25,0.3454545455,0.3636363636,0.3245614035,0.25,1
0.2,0.3,0.3636363636,0.3245614035,0.2,0
1,0.3,0.3636363636,0.3245614035,1,1
0,0.3,0.3636363636,0.3245614035,0,0
1,0.3,0.3636363636,0.3245614035,1,1
0,0.3,0.3636363636,0.3245614035,0,0
1,0.3,0.3636363636,0.3245614035,1,1
0,0.3,0.3636363636,0.3245614035,0,0
0.2857142857,0.3,0.3636363636,0.3245614035,0.2857142857,0
0,0.3454545455,0.3636363636,0.3245614035,0,0
0.5,0.3454545455,0.3636363636,0.3245614035,0.5,0
0,0.3454545455,0.3636363636,0.3245614035,0,0
0,0.3,0.3636363636,0.3245614035,0,0
0.5,0.3,0.3636363636,0.3245614035,0.5,1
0.2,0.3,0.3636363636,0.3245614035,0.2,1
0,0.3,0.3636363636,0.3245614035,0,0
0.125,0.3,0.2592592593,0.3245614035,0.125,0
0,0.3,0.2592592593,0.3245614035,0,0
0.125,0.3,0.2592592593,0.3245614035,0.125,1
0,0.3,0.2592592593,0.3245614035,0,0
0,0.3,0.2592592593,0.3245614035,0,0
1,0.3,0.2592592593,0.3245614035,1,1
0.5,0.3454545455,0.2592592593,0.3245614035,0.5,1
0,0.3,0.2592592593,0.3245614035,0,0
1,0.3,0.2592592593,0.3245614035,1,1
0.5,0.3,0.2592592593,0.3245614035,0.5,0
0,0.3,0.2592592593,0.3245614035,0,0
0,0.3,0.2592592593,0.3245614035,0,0
0.2857142857,0.3,0.2592592593,0.3245614035,0.2857142857,0
0,0.3,0.2592592593,0.3245614035,0,0
1,0.3,0.2592592593,0.3245614035,1,1
0.1428571429,0.3,0.2592592593,0.3245614035,0.1428571429,1
0.1428571429,0.3,0.2592592593,0.3245614035,0.1428571429,0
0,0.3,0.2592592593,0.3245614035,0,0
